Dsquared2;Nike;176 CHF;https://www.farfetch.com//ch/shopping/men/nike-x-billie-ellish-air-force-1-low-triple-white-sneakers-item-20082996.aspx?storeid=11218
Axel Arigato;Jordan;305 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-4-red-cement-sneakers-item-20254845.aspx?storeid=11218
Comme Des Garçons Play x Converse;Axel Arigato;236 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-genesis-vintage-runner-sneakers-item-17395765.aspx?storeid=13555
Nike;New Balance;143 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-580-chunky-panelled-sneakers-item-20473860.aspx?storeid=13537
Reebok;Nike;165 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-blackphoton-dust-volt-white-sneakers-item-19949245.aspx?storeid=11218
UGG;Reebok;130 CHF;https://www.farfetch.com//ch/shopping/men/reebok-bb-4000-ii-sneakers-item-20138620.aspx?storeid=15073
Moon Boot;UGG;130 CHF;https://www.farfetch.com//ch/shopping/men/ugg-pearle-slip-on-slippers-item-17241715.aspx?storeid=10136
Moon Boot;Moon Boot;240 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-icon-snow-boots-item-18518370.aspx?storeid=13646
Philipp Plein;Moon Boot;195 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-icon-no-lace-rubber-boots-item-19303012.aspx?storeid=13344
Nike;Philipp Plein;374 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-logo-plaque-leather-sneakers-item-19943666.aspx?storeid=11845
Nike;Nike;182 CHF;https://www.farfetch.com//ch/shopping/men/nike-x-drake-hot-step-air-terra-nocta-triple-black-sneakers-item-18131281.aspx?storeid=11218
Premiata;Nike;17700 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-yeezy-2-sp-red-october-sneakers-item-14477850.aspx?storeid=11218
Palm Angels;Premiata;242 CHF;https://www.farfetch.com//ch/shopping/men/premiata-lander-6402-low-top-sneakers-item-20871863.aspx?storeid=12491
adidas;New Balance;203 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-990-v3-made-in-usa-tangreen-sneakers-item-19696402.aspx?storeid=11218
Giuseppe Zanotti;Dolce &amp; Gabbana;700 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-daymaster-low-top-leather-sneakers-item-17054467.aspx?storeid=11167
Dr. Martens;Philipp Plein;374 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-logo-plaque-leather-sneakers-item-19942911.aspx?storeid=11845
Balenciaga;Axel Arigato;257 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-dice-low-top-sneakers-item-19631125.aspx?storeid=11598
Jordan;Balenciaga;1550 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-track-led-sneakers-item-19064416.aspx?storeid=13539
Birkenstock;Jordan;165 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-low-ex-sail-sneakers-item-20362396.aspx?storeid=14912
Balenciaga;Jordan;148 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-bred-toe-sneakers-item-18978202.aspx?storeid=14376
Nike;Balenciaga;675 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-cosy-jacquard-mules-item-18508237.aspx?storeid=13539
Nike;Nike;1363 CHF;https://www.farfetch.com//ch/shopping/men/nike-kobe-6-protro-mamba-christmas-grinch-storyteller-collection-sneakers-item-20235936.aspx?storeid=11218
Nike;Nike;429 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-university-blue-sneakers-item-16815300.aspx?storeid=14912
Jordan;Nike;154 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-industrial-blue-sneakers-item-21244194.aspx?storeid=14376
Giuseppe Zanotti;Jordan;109 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-palomino-sneakers-item-19813076.aspx?storeid=11218
Jordan;New Balance;131 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-650-triple-white-sneakers-item-20067449.aspx?storeid=11218
UGG;Jordan;109 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-blueberry-sneakers-item-21256404.aspx?storeid=11218
Dsquared2;UGG;160 CHF;https://www.farfetch.com//ch/shopping/men/ugg-neumel-suede-lace-up-boots-item-21452603.aspx?storeid=9462
Dsquared2;Off-White;216 CHF;https://www.farfetch.com//ch/shopping/men/off-white-bookish-sponge-logo-embroidered-slides-item-19322188.aspx?storeid=12572
Jordan;VEJA;92 CHF;https://www.farfetch.com//ch/shopping/men/veja-dekkan-alveomesh-low-top-sneakers-item-19855674.aspx?storeid=13537
New Balance;Jordan;491 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-retro-high-og-dark-mocha-sneakers-item-15957861.aspx?storeid=11218
Dsquared2;New Balance;120 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-urc30-logo-patch-sneakers-item-21953016.aspx?storeid=13537
Diesel;Philipp Plein;510 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-predator-panelled-low-top-sneakers-item-17022611.aspx?storeid=11845
Off-White;Off-White;605 CHF;https://www.farfetch.com//ch/shopping/men/off-white-odsy-1000-sneakers-item-17595008.aspx?storeid=12572
Jordan;Off-White;400 CHF;https://www.farfetch.com//ch/shopping/men/off-white-low-vulcanized-sneakers-item-21448184.aspx?storeid=14367
adidas Yeezy;Jordan;238 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-high-og-spider-man-across-the-spider-verse-sneakers-item-19989661.aspx?storeid=11218
;Balenciaga;625 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-hd-cut-out-mules-item-19825557.aspx?storeid=13539
PUMA;Nike;259 CHF;https://www.farfetch.com//ch/shopping/men/nike-kobe-8-protro-triple-white-sneakers-item-20360863.aspx?storeid=11218
VEJA;PUMA;159 CHF;https://www.farfetch.com//ch/shopping/men/puma-lamelo-ball-mb02-nickelodeon-slime-sneakers-item-19593051.aspx?storeid=11218
Nike;VEJA;177 CHF;https://www.farfetch.com//ch/shopping/men/veja-dekkan-lace-up-sneakers-item-21091318.aspx?storeid=13344
UGG;Nike;290 CHF;https://www.farfetch.com//ch/shopping/men/nike-zoom-vomero-5-supersonic-sneakers-item-21240495.aspx?storeid=10222
Philipp Plein;UGG;115 CHF;https://www.farfetch.com//ch/shopping/men/ugg-shearling-slippers-item-13313809.aspx?storeid=9462
Nike;Philipp Plein;1236 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-x-snoop-dogg-pleindogg-sneakers-item-19499447.aspx?storeid=11845
Billionaire;Nike;173 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-retro-ucla-sneakers-item-19024132.aspx?storeid=14376
Jordan;Billionaire;306 CHF;https://www.farfetch.com//ch/shopping/men/billionaire-logo-crest-leather-sneakers-item-19335238.aspx?storeid=14478
