Gucci;GG-embossed slides;420 CHF;https://www.farfetch.com//ch/shopping/men/gucci-gg-embossed-slides-item-18164224.aspx?storeid=10524
Nike;Gucci;420 CHF;https://www.farfetch.com//ch/shopping/men/gucci-gg-embossed-slides-item-18164224.aspx?storeid=10524
Nike;SB Dunk Low &quot;White Gum&quot; sneakers;147 CHF;https://www.farfetch.com//ch/shopping/men/nike-sb-dunk-low-white-gum-sneakers-item-19697040.aspx?storeid=11218
Onitsuka Tiger;Nike;147 CHF;https://www.farfetch.com//ch/shopping/men/nike-sb-dunk-low-white-gum-sneakers-item-19697040.aspx?storeid=11218
Onitsuka Tiger;Mexico 66™ &quot;Kill Bill - 2023&quot; sneakers;215 CHF;https://www.farfetch.com//ch/shopping/men/onitsuka-tiger-mexico-66-kill-bill-2023-sneakers-item-21344525.aspx?storeid=11218
Dolce &amp; Gabbana;Onitsuka Tiger;215 CHF;https://www.farfetch.com//ch/shopping/men/onitsuka-tiger-mexico-66-kill-bill-2023-sneakers-item-21344525.aspx?storeid=11218
Dolce &amp; Gabbana;Airmaster panelled low-top sneakers;825 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-airmaster-panelled-low-top-sneakers-item-18529539.aspx?storeid=13537
Dolce &amp; Gabbana;Dolce &amp; Gabbana;825 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-airmaster-panelled-low-top-sneakers-item-18529539.aspx?storeid=13537
Dolce &amp; Gabbana;logo-patch low-top sneakers;793 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-logo-patch-low-top-sneakers-item-19172372.aspx?storeid=9462
adidas Yeezy;Dolce &amp; Gabbana;793 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-logo-patch-low-top-sneakers-item-19172372.aspx?storeid=9462
adidas Yeezy;500 &quot;Utility Black&quot; sneakers;283 CHF;https://www.farfetch.com//ch/shopping/men/adidas-yeezy-500-utility-black-sneakers-item-13140651.aspx?storeid=11218
Nike;adidas Yeezy;283 CHF;https://www.farfetch.com//ch/shopping/men/adidas-yeezy-500-utility-black-sneakers-item-13140651.aspx?storeid=11218
Nike;Dunk Low Pro QS &quot;April Skateboards&quot; sneakers;417 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-pro-qs-april-skateboards-sneakers-item-21344854.aspx?storeid=11218
adidas;Nike;417 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-pro-qs-april-skateboards-sneakers-item-21344854.aspx?storeid=11218
adidas;Gazelle Indoor sneakers;102 CHF;https://www.farfetch.com//ch/shopping/men/adidas-gazelle-indoor-sneakers-item-20038325.aspx?storeid=11218
Balenciaga;adidas;102 CHF;https://www.farfetch.com//ch/shopping/men/adidas-gazelle-indoor-sneakers-item-20038325.aspx?storeid=11218
Balenciaga;Triple S lace-up sneakers;1050 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-triple-s-lace-up-sneakers-item-18727599.aspx?storeid=13539
New Balance;Balenciaga;1050 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-triple-s-lace-up-sneakers-item-18727599.aspx?storeid=13539
New Balance;2002R &quot;Marblehead&quot; sneaker mules;181 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-2002r-marblehead-sneaker-mules-item-21757292.aspx?storeid=11218
New Balance;New Balance;181 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-2002r-marblehead-sneaker-mules-item-21757292.aspx?storeid=11218
New Balance;550 panelled sneakers;155 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-550-panelled-sneakers-item-20950403.aspx?storeid=15041
Axel Arigato;New Balance;155 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-550-panelled-sneakers-item-20950403.aspx?storeid=15041
Axel Arigato;Blyde Puffer boots ;515 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-blyde-puffer-boots-item-19628990.aspx?storeid=15092
Premiata;Axel Arigato;515 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-blyde-puffer-boots-item-19628990.aspx?storeid=15092
Premiata;Mase panelled low-top sneakers;253 CHF;https://www.farfetch.com//ch/shopping/men/premiata-mase-panelled-low-top-sneakers-item-20836334.aspx?storeid=11004
Dolce &amp; Gabbana;Premiata;253 CHF;https://www.farfetch.com//ch/shopping/men/premiata-mase-panelled-low-top-sneakers-item-20836334.aspx?storeid=11004
Dolce &amp; Gabbana;Airmaster panelled low-top sneakers;496 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-airmaster-panelled-low-top-sneakers-item-17405388.aspx?storeid=13098
On Running;Dolce &amp; Gabbana;496 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-airmaster-panelled-low-top-sneakers-item-17405388.aspx?storeid=13098
On Running;Cloudvista Exclusive lace-up sneakers;162 CHF;https://www.farfetch.com//ch/shopping/men/on-running-cloudvista-exclusive-lace-up-sneakers-item-21509646.aspx?storeid=12264
