adidas;adidas Yeezy Boost 350 V2;adidas Yeezy Boost 350 V2 Bone;21.03.2022;186 CHF;https://stockx.com/adidas-yeezy-boost-350-v2-bone
adidas;adidas Yeezy Slide;adidas Yeezy Slide Granite;25.08.2023;69 CHF;https://stockx.com/adidas-yeezy-slide-granite
adidas;adidas Yeezy Foam RNR;adidas Yeezy Foam RNR Carbon;07.08.2023;108 CHF;https://stockx.com/adidas-yeezy-foam-rnr-carbon
Jordan;Nike Dunk Low;Nike Dunk Low Diffused Taupe (Women's);01.12.2023;116 CHF;https://stockx.com/nike-dunk-low-diffused-taupe-womens
UGG;UGG Classic Ultra Mini Platform Boot;UGG Classic Ultra Mini Platform Boot Chestnut (Women's);10.10.2022;140 CHF;https://stockx.com/ugg-classic-ultra-mini-platform-chestnut-w
New Balance;New Balance 550;New Balance 550 White Green;24.06.2021;91 CHF;https://stockx.com/new-balance-550-white-green
UGG;UGG Tazz Slipper;UGG Tazz Slipper Sand (Women's);24.11.2023;163 CHF;https://stockx.com/ugg-tazz-slipper-sand-womens
Jordan;Jordan 3 Retro;Jordan 3 Retro Doernbecher Hugo;02.12.2023;266 CHF;https://stockx.com/air-jordan-3-retro-doernbecher-hugo
Nike;Nike Dunk Low;Nike Dunk Low Smoke Grey Gum 3M Swoosh;03.10.2023;121 CHF;https://stockx.com/nike-dunk-low-smoke-grey-gum-3m-swoosh
UGG;UGG Tasman Slipper;UGG Tasman Slipper Mustard Seed (Women's);01.09.2023;133 CHF;https://stockx.com/ugg-tasman-slipper-mustard-seed-womens
Jordan;Jordan 1 Retro High OG;Jordan 1 Retro High OG UNC Toe;22.07.2023;173 CHF;https://stockx.com/air-jordan-1-high-og-unc-toe
adidas;adidas Samba OG;adidas Samba OG Cloud White Core Black;01.01.2018;76 CHF;https://stockx.com/adidas-samba-og-cloud-white-core-black
Jordan;Jordan 11 Retro;Jordan 11 Retro DMP Gratitude (2023) (GS);14.11.2023;122 CHF;https://stockx.com/air-jordan-11-retro-dmp-defining-moments-2023-gs
Jordan;Jordan 1 Retro High OG;Jordan 1 Retro High OG Royal Reimagined;04.11.2023;94 CHF;https://stockx.com/air-jordan-1-retro-high-og-royal-reimagined
Nike;Nike Dunk Low;Nike Dunk Low Medium Curry;29.03.2021;98 CHF;https://stockx.com/nike-dunk-low-medium-curry
Jordan;Jordan 4 Retro;Jordan 4 Retro Thunder (2023);13.05.2023;174 CHF;https://stockx.com/air-jordan-4-retro-thunder-2023
adidas;adidas Yeezy Boost 350 V2;adidas Yeezy Boost 350 V2 Onyx (2022/2023);05.03.2022;243 CHF;https://stockx.com/adidas-yeezy-boost-350-v2-onyx
adidas;adidas Campus 00s;adidas Campus 00s Dark Green Cloud White;15.03.2023;82 CHF;https://stockx.com/adidas-campus-00s-dark-green-cloud-white
Nike;Nike Dunk Low;Nike Dunk Low Next Nature Blue Tint (Women's);08.09.2023;91 CHF;https://stockx.com/nike-dunk-low-next-nature-blue-tint-womens
Nike;Nike Dunk Low;Nike Dunk Low Rose Whisper (Women's);01.03.2022;72 CHF;https://stockx.com/nike-dunk-low-rose-whisper-w
Jordan;Jordan 4 Retro;Jordan 4 Retro Red Cement (GS);09.09.2023;138 CHF;https://stockx.com/air-jordan-4-retro-red-cement-gs
Jordan;Jordan 1 Retro High OG;Jordan 1 Retro High OG Spider-Man Across the Spider-Verse;20.05.2023;131 CHF;https://stockx.com/air-jordan-1-high-og-spider-man-across-the-spider-verse
