adidas;adidas Yeezy Boost 350 V2;adidas Yeezy Boost 350 V2 Bone;2022-03-21;186 CHF;https://stockx.com/adidas-yeezy-boost-350-v2-bone
adidas;adidas Yeezy Slide;adidas Yeezy Slide Granite;2023-08-25;69 CHF;https://stockx.com/adidas-yeezy-slide-granite
Jordan;adidas Yeezy Foam RNR;adidas Yeezy Foam RNR Carbon;2023-08-07;108 CHF;https://stockx.com/adidas-yeezy-foam-rnr-carbon
UGG;Nike Dunk Low;Nike Dunk Low Diffused Taupe (Women's);2023-12-01;116 CHF;https://stockx.com/nike-dunk-low-diffused-taupe-womens
New Balance;UGG Classic Ultra Mini Platform Boot;UGG Classic Ultra Mini Platform Boot Chestnut (Women's);2022-10-10;140 CHF;https://stockx.com/ugg-classic-ultra-mini-platform-chestnut-w
UGG;New Balance 550;New Balance 550 White Green;2021-06-24;91 CHF;https://stockx.com/new-balance-550-white-green
Jordan;UGG Tazz Slipper;UGG Tazz Slipper Sand (Women's);2023-11-24;163 CHF;https://stockx.com/ugg-tazz-slipper-sand-womens
Nike;Jordan 3 Retro;Jordan 3 Retro Doernbecher Hugo;2023-12-02;266 CHF;https://stockx.com/air-jordan-3-retro-doernbecher-hugo
UGG;Nike Dunk Low;Nike Dunk Low Smoke Grey Gum 3M Swoosh;2023-10-03;121 CHF;https://stockx.com/nike-dunk-low-smoke-grey-gum-3m-swoosh
Jordan;UGG Tasman Slipper;UGG Tasman Slipper Mustard Seed (Women's);2023-09-01;133 CHF;https://stockx.com/ugg-tasman-slipper-mustard-seed-womens
adidas;Jordan 1 Retro High OG;Jordan 1 Retro High OG UNC Toe;2023-07-22;173 CHF;https://stockx.com/air-jordan-1-high-og-unc-toe
Jordan;adidas Samba OG;adidas Samba OG Cloud White Core Black;2018-01-01;76 CHF;https://stockx.com/adidas-samba-og-cloud-white-core-black
Jordan;Jordan 11 Retro;Jordan 11 Retro DMP Gratitude (2023) (GS);2023-11-14;122 CHF;https://stockx.com/air-jordan-11-retro-dmp-defining-moments-2023-gs
Nike;Jordan 1 Retro High OG;Jordan 1 Retro High OG Royal Reimagined;2023-11-04;94 CHF;https://stockx.com/air-jordan-1-retro-high-og-royal-reimagined
Jordan;Nike Dunk Low;Nike Dunk Low Medium Curry;2021-03-29;98 CHF;https://stockx.com/nike-dunk-low-medium-curry
