UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Sand (Women's);2020-01-01;154 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-sand-w
Timberland;UGG Tasman Slipper;UGG Tasman Slipper Burnt Cedar (Women's);2023-08-29;139 CHF;https://stockx.com/ugg-tasman-slipper-burnt-cedar-womens
Crocs;Timberland 6\;Timberland 6\;2018-01-01;124 CHF;https://stockx.com/timberland-6-black-nubuck
UGG;Crocs Pollex Clog;Crocs Pollex Clog by Salehe Bembury Horchata;2023-06-15;84 CHF;https://stockx.com/crocs-pollex-clog-by-salehe-bembury-horchata
UGG;UGG Tasman Slipper;UGG Tasman Slipper Dark Grey (Women's);2020-03-14;124 CHF;https://stockx.com/ugg-tasman-slipper-dark-grey-w
UGG;UGG Tasman Slipper;UGG Tasman Slipper Dark Grey;2020-03-14;104 CHF;https://stockx.com/ugg-tasman-slipper-dark-grey
Crocs;UGG Neumel Platform Chelsea Boot;UGG Neumel Platform Chelsea Boot Chestnut (Women's);2022-10-19;172 CHF;https://stockx.com/ugg-neumel-platform-chelsea-boot-chestnut-w
UGG;Crocs Classic Clog;Crocs Classic Clog Lightning McQueen (TD);2023-08-17;58 CHF;https://stockx.com/crocs-classic-clog-lightning-mcqueen-td
Crocs;UGG Tasman Slipper;UGG Tasman Slipper Pink Glow (Women's);2023-08-29;147 CHF;https://stockx.com/ugg-tasman-slipper-pink-glow-womens
UGG;Crocs Classic Cowboy Boot;Crocs Classic Cowboy Boot Black;2023-10-23;104 CHF;https://stockx.com/crocs-classic-cowboy-boot-black
UGG;UGG Mini Bailey Bow II;UGG Mini Bailey Bow II Chestnut (Women's);2022-01-01;117 CHF;https://stockx.com/ugg-mini-bailey-bow-ii-chestnut-w
UGG;UGG Tasman Slipper;UGG Tasman Slipper Dusted Cocoa;2023-08-29;104 CHF;https://stockx.com/ugg-tasman-slipper-dusted-cocoa
UGG;UGG Class Ultra Mini;UGG Class Ultra Mini Chestnut (Kids);2023-01-27;116 CHF;https://stockx.com/ugg-class-ultra-mini-chestnut-kids
Birkenstock;UGG Classic Mini Platform Boot;UGG Classic Mini Platform Boot Chestnut (Women's);2020-01-01;114 CHF;https://stockx.com/ugg-classic-mini-platform-boot-chestnut-w
UGG;Birkenstock London Braided;Birkenstock London Braided Kith Taupe;2023-12-01;448 CHF;https://stockx.com/birkenstock-braided-london-kith-taupe
UGG;UGG Tasman Slipper;UGG Tasman Slipper Palace Burnt Olive;2023-12-01;299 CHF;https://stockx.com/ugg-tasman-slipper-palace-burnt-olive
UGG;UGG Neumel Boot;UGG Neumel Boot Black;2022-02-01;114 CHF;https://stockx.com/ugg-neumel-boot-black
UGG;UGG Neumel Boot;UGG Neumel Boot Chestnut;2022-02-01;108 CHF;https://stockx.com/ugg-neumel-boot-chestnut
Birkenstock;UGG Fluff Yeah Slide;UGG Fluff Yeah Slide Black (Women's);2021-06-01;88 CHF;https://stockx.com/ugg-fluff-yeah-slide-black-w
UGG;Birkenstock London Braided;Birkenstock London Braided Kith Biscuit;2023-12-01;444 CHF;https://stockx.com/birkenstock-braided-london-kith-biscuit
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Goat;2020-01-01;140 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-goat
UGG;UGG Classic Short II Boot;UGG Classic Short II Boot Chestnut (Women's);2021-09-01;96 CHF;https://stockx.com/ugg-classic-short-ii-boot-chestnut-w
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Burnt Cedar (Women's);2020-01-01;83 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-burnt-cedar-w
UGG;UGG Tasman Slipper;UGG Tasman Slipper Samba Red;2020-03-14;89 CHF;https://stockx.com/ugg-tasman-slipper-samba-red
UGG;UGG Scuffette II;UGG Scuffette II Mustard Seed (Women's);2023-08-29;105 CHF;https://stockx.com/ugg-scuffette-ii-mustard-seed-womens
UGG;UGG Tazz Slipper;UGG Tazz Slipper Heritage Braid Hardwood (Women's);2023-09-30;164 CHF;https://stockx.com/ugg-tazz-slipper-heritage-braid-hardwood-womens
Birkenstock;UGG Tasman Slipper;UGG Tasman Slipper Rock Rose (Kids);--;118 CHF;https://stockx.com/ugg-tasman-slipper-rock-rose-kids
UGG;Birkenstock Boston Soft Footbed;Birkenstock Boston Soft Footbed Suede Taupe (Narrow Fit);2018-05-10;154 CHF;https://stockx.com/birkenstock-boston-soft-footbed-suede-taupe-narrow-fit
Gucci;UGG Classic Short II Boot;UGG Classic Short II Boot Black (Women's);2022-02-01;96 CHF;https://stockx.com/ugg-classic-short-ii-boot-black-w
UGG;Gucci Slide;Gucci Slide Pink Rubber (Women's);2021-06-01;185 CHF;https://stockx.com/gucci-slide-pink-rubber-w
UGG;UGG Tazz Slipper;UGG Tazz Slipper Eve Blue (Women's);2023-09-01;121 CHF;https://stockx.com/ugg-tazz-slipper-eve-blue-womens
Crocs;UGG Tazz Slipper;UGG Tazz Slipper Seal (Women's);2023-09-30;164 CHF;https://stockx.com/ugg-tazz-slipper-seal-womens
UGG;Crocs Classic Clog;Crocs Classic Clog Elf;2023-10-30;74 CHF;https://stockx.com/crocs-classic-clog-elf
UGG;UGG Tazz Slipper;UGG Tazz Slipper Chocolate (Women's);2023-09-30;158 CHF;https://stockx.com/ugg-tazz-slipper-chocolate-womens
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Mustard Seed (Women's);2021-01-01;180 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-mustard-seed-w
UGG;UGG Tasman Weather Hybrid Slipper;UGG Tasman Weather Hybrid Slipper Black;2023-09-02;150 CHF;https://stockx.com/ugg-tasman-weather-hybrid-slipper-black
UGG;UGG Classic Ultra Mini Platform Boot;UGG Classic Ultra Mini Platform Boot Black (Women's);2020-01-01;129 CHF;https://stockx.com/ugg-classic-ultra-mini-platform-black-w
UGG;UGG Tazzette Slipper;UGG Tazzette Slipper Chestnut (Women's);2021-01-01;146 CHF;https://stockx.com/ugg-tazzette-slipper-chestnut-w
Crocs;UGG Classic Clear Mini Boot;UGG Classic Clear Mini Boot Natural Black (Women's);2021-10-01;106 CHF;https://stockx.com/ugg-classic-clear-mini-boot-natural-black-w
UGG;Crocs Classic Clog;Crocs Classic Clog McDonald's;2023-11-14;59 CHF;https://stockx.com/crocs-classic-clog-mcdonalds
UGG;UGG Mini Bailey Bow II;UGG Mini Bailey Bow II Black (Women's);2023-01-09;96 CHF;https://stockx.com/ugg-mini-bailey-bow-ii-black-w
Crocs;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Moss Green (Women's);2023-08-29;153 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-moss-green-womens
UGG;Crocs Pollex Clog;Crocs Pollex Clog by Salehe Bembury Cobbler;2022-08-19;81 CHF;https://stockx.com/crocs-pollex-clog-by-salehe-bembury-orange
Crocs;UGG Classic Mini II Boot;UGG Classic Mini II Boot Caribou (Women's);2021-01-01;172 CHF;https://stockx.com/ugg-classic-mini-ii-boot-caribou-w
Timberland;Crocs Pollex Clog;Crocs Pollex Clog by Salehe Bembury Kuwata;2022-10-22;52 CHF;https://stockx.com/crocs-pollex-clog-by-salehe-bembury-kuwata
UGG;Timberland 40 Below Super Boot;Timberland 40 Below Super Boot Hazel Highway;2018-01-01;296 CHF;https://stockx.com/timberland-40-below-superboot-brown
UGG;UGG Classic Mini II Boot;UGG Classic Mini II Boot Black (Women's);2022-02-01;109 CHF;https://stockx.com/ugg-classic-mini-ii-boot-black-w
UGG;UGG Bailey Bow II Boot;UGG Bailey Bow II Boot Chestnut (Women's);2021-06-01;144 CHF;https://stockx.com/ugg-bailey-bow-ii-boot-chestnut-w
Birkenstock;UGG Tazz Slipper;UGG Tazz Slipper Burnt Cedar (Women's);2023-09-30;196 CHF;https://stockx.com/ugg-tazz-slipper-burnt-cedar-womens
Crocs;Birkenstock London Braided;Birkenstock London Braided Kith Black;2023-12-01;398 CHF;https://stockx.com/birkenstock-braided-london-kith-black
Crocs;Crocs Classic Clog;Crocs Classic Clog Cinnamon Toast Crunch;2022-04-28;119 CHF;https://stockx.com/crocs-classic-clog-cinnamon-toast-crunch
UGG;Crocs Classic Clog;Crocs Classic Clog Hello Kitty and Friends;2023-03-01;57 CHF;https://stockx.com/crocs-classic-clog-hello-kitty-and-friends-w
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Chestnut;2020-01-01;120 CHF;https://stockx.com/ugg-classic-ultra-mini-chestnut
Crocs;UGG Neumel Boot;UGG Neumel Boot Samba Red;2022-02-01;78 CHF;https://stockx.com/ugg-neumel-boot-samba-red
UGG;Crocs Classic Clog;Crocs Classic Clog DreamWorks Shrek (Kids);2023-09-13;40 CHF;https://stockx.com/crocs-classic-clog-dreamworks-shrek-kids
Crocs;UGG Tazzlita Slipper;UGG Tazzlita Slipper Chestnut (Women's);2023-09-13;143 CHF;https://stockx.com/ugg-tazzlita-slipper-chestnut-womens
UGG;Crocs Classic Clog;Crocs Classic Clog Demon Slayer Nezuko;2023-10-18;69 CHF;https://stockx.com/crocs-classic-clog-demon-slayer-nezuko
Crocs;UGG Classic Mini Platform Boot;UGG Classic Mini Platform Boot Black (Women's);2020-01-01;121 CHF;https://stockx.com/ugg-classic-mini-platform-boot-black-w
UGG;Crocs Classic Clog;Crocs Classic Clog Lightning McQueen (Kids);2023-08-17;49 CHF;https://stockx.com/crocs-classic-clog-lightning-mcqueen-kids
UGG;UGG Classic Clear Mini Boot;UGG Classic Clear Mini Boot Black (Women's);2021-10-01;126 CHF;https://stockx.com/ugg-classic-clear-mini-boot-black-w
Crocs;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Mustard Seed;2023-08-29;152 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-mustard-seed
Crocs;Crocs Pollex Clog;Crocs Pollex Clog by Salehe Bembury Yoke;2023-11-09;80 CHF;https://stockx.com/crocs-pollex-clog-by-salehe-bembury-yolk
Crocs;Crocs Pollex Clog;Crocs Pollex Clog by Salehe Bembury Tide;2022-09-22;67 CHF;https://stockx.com/crocs-pollex-clog-by-salehe-bembury-tide
UGG;Crocs Mellow Slide;Crocs Mellow Slide Taco Bell Live Más;2023-06-20;54 CHF;https://stockx.com/crocs-mellow-slide-taco-bell-live-mas
UGG;UGG Tasman Slipper;UGG Tasman Slipper Lavender Fog (Women's);2020-03-14;164 CHF;https://stockx.com/ugg-tasman-slipper-lavender-fog-w
Crocs;UGG Classic Mini Pull-On Weather Boot;UGG Classic Mini Pull-On Weather Boot Black;2023-03-17;123 CHF;https://stockx.com/ugg-classic-mini-pull-on-weather-boot-black
UGG;Crocs Classic Clog;Crocs Classic Clog McDonald's Hamburglar;2023-11-14;67 CHF;https://stockx.com/crocs-classic-clog-mcdonalds-hamburglar
UGG;UGG Tasman Slipper;UGG Tasman Slipper Driftwood (Women's);2022-12-07;148 CHF;https://stockx.com/ugg-tasman-slipper-driftwood-w
UGG;UGG Mini Bailey Button II;UGG Mini Bailey Button II Chestnut (Women's);2022-01-01;91 CHF;https://stockx.com/ugg-mini-bailey-button-ii-chestnut-w
UGG;UGG Tazz Slipper;UGG Tazz Slipper Smoke Plume (Women's);2023-09-30;211 CHF;https://stockx.com/ugg-tazz-slipper-smoke-plume-womens
UGG;UGG Mini Bailey Bow II Boot;UGG Mini Bailey Bow II Boot Grey (Women's);--;96 CHF;https://stockx.com/ugg-mini-bailey-bow-ii-boot-grey-womens
UGG;UGG Tasman Slipper;UGG Tasman Slipper Deep Ocean;2023-08-29;102 CHF;https://stockx.com/ugg-tasman-slipper-deep-ocean
UGG;UGG Funkette Slipper;UGG Funkette Slipper Chestnut (Women's);--;150 CHF;https://stockx.com/ugg-funkette-slipper-chestnut-womens
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Brown Driftwood (Women's);2020-01-01;144 CHF;https://stockx.com/ugg-classic-ultra-mini-brown-driftwood-w
