adidas;adidas Yeezy Slide;adidas Yeezy Slide Slate Marine;11.08.2023;73 CHF;https://stockx.com/adidas-yeezy-slide-slate-marine;https://images.stockx.com/images/adidas-Yeezy-Slide-Slate-Marine-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1691071483&q=60
Jordan;Jordan 1 Retro High OG;Jordan 1 Retro High OG Yellow Ochre;13.01.2024;148 CHF;https://stockx.com/air-jordan-1-retro-high-og-yellow-ochre;https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Yellow-Ochre-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1704312218&q=60
UGG;UGG Tazz Slipper;UGG Tazz Slipper Sand (Women's);24.11.2023;141 CHF;https://stockx.com/ugg-tazz-slipper-sand-womens;https://images.stockx.com/images/UGG-Tazz-Slipper-Sand-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1701709410&q=60
Nike;Nike Kobe 4 Protro;Nike Kobe 4 Protro Gift of Mamba;27.12.2023;173 CHF;https://stockx.com/nike-kobe-4-protro-gift-of-mamba;https://images.stockx.com/images/Nike-Kobe-4-Protro-Gift-of-Mamba-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1703797650&q=60
ASICS;Onitsuka Tiger Mexico 66;Onitsuka Tiger Mexico 66 Kill Bill (2022);24.01.2022;105 CHF;https://stockx.com/onitsuka-tiger-mexico-66-kill-bill-2022;https://images.stockx.com/images/Onitsuka-Tiger-Mexico-66-Kill-Bill-2022-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1692306495&q=60
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Chestnut (Women's);01.11.2021;86 CHF;https://stockx.com/ugg-classic-ultra-mini-chestnut-w;https://images.stockx.com/images/UGG-Classic-Ultra-Mini-Chestnut-W-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1641999174&q=60
Nike;Nike Dunk Low;Nike Dunk Low Photon Dust (Women's);19.05.2021;80 CHF;https://stockx.com/nike-dunk-low-photon-dust-w;https://images.stockx.com/images/Nike-Dunk-Low-Photon-Dust-W-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1620404906&q=60
Nike;Nike Dunk Low Retro;Nike Dunk Low Retro White Black Panda;10.03.2021;83 CHF;https://stockx.com/nike-dunk-low-retro-white-black-2021;https://images.stockx.com/images/Nike-Dunk-Low-Retro-White-Black-2021-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1633027409&q=60
Nike;Nike Dunk Low;Nike Dunk Low Grey Fog;21.09.2021;90 CHF;https://stockx.com/nike-dunk-low-grey-fog;https://images.stockx.com/images/Nike-Dunk-Low-Grey-Fog-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1688711455&q=60
Jordan;Jordan 11 Retro;Jordan 11 Retro DMP Gratitude (2023);09.12.2023;191 CHF;https://stockx.com/air-jordan-11-retro-dmp-defining-moments-2023;https://images.stockx.com/images/Air-Jordan-11-Retro-DMP-Defining-Moments-2023-Product.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=jpg&auto=compress&dpr=2&trim=color&updated_at=1699989594&q=60
